sentences1,sentences2,is_similar
Hiện_trường vụ sập nhà 43 phố Cửa_Bắc,"Hiện_trường vụ sập nhà tại số 43 Cửa_Bắc , Hà_Nội .",1
"Từ Mỹ , chị Ngọc_Lan , một phóng_viên người Việt ở California - đã có cuộc trao_đổi nhanh với PV .","Từ Mỹ , chị Ngọc_Lan , một phóng_viên người Việt ở California - đã có cuộc trao_đổi nhanh với VietNamNet .",1
"Dựa vào các thông_tin gần đây , chiếc bút S_Pen đặc_trưng của dòng Note sẽ được bổ_sung một_số tính_năng mới cho Command_Air , tăng_cường độ_chính_xác khi thao_tác ... và cả việc sử_dụng dưới nước .",Báo_cáo công_bố mới_đây cho_thấy chiếc bút S_Pen của mẫu Galaxy_Note mới sẽ được tích_hợp thêm 3 tính_năng đặc_biệt .,1
"Sáng 1/8 , Phòng CSGT Công_an Hà_Nội thực_thi quy_định theo Nghị_định 46 , tăng mức phạt 115 hành_vi và nhóm hành_vi vi_phạm luật giao_thông so với Nghị_định 171 , 107 tuy_nhiên nhiều người tỏ_ra bất_ngờ , chưa biết về quy_định mới .","Bắt_đầu từ sáng nay ( 1/8 ) , Phòng CSGT Công_an Hà_Nội ra_quân thực hiện quy định theo Nghị_định 46 , tăng mức phạt 115 hành_vi và nhóm hình vi vi_phạm luật giao thông so với Nghị_định 171 , 107 .",1
"Tại Sơn_La , Ban Chỉ_huy phòng_chống thiên_tai và tìm_kiếm cứu nạn tỉnh đã chỉ_đạo các địa_phương chủ_động phương_án đảm_bảo an_toàn cho hơn 400 hộ dân tại các vùng có nguy_cơ sạt_lở đất , lũ quét .","Trước cảnh_báo ở địa_phương có mưa to đến rất to , Ban chỉ_huy phòng_chống thiên_tai và tìm_kiếm cứu nạn huyện Mường_Khương đã chỉ_đạo các xã chủ_động rà_soát địa_bàn , đặc_biệt lưu_ý đến công_tác tuyên_truyền cảnh_báo đến người dân không chủ_quan khi qua suối khi có mưa to ; không ngủ lại lán nương để đề_phòng lũ quét , sạt_lở đất .",0
Hợp_đồng mua_bán mà Tuấn làm giả để lừa_đảo,Tuấn đã làm giả bản hợp_đồng mua_bán .,1
"Nguyên_nhân ban_đầu dẫn đến bệnh bạch_hầu lây_lan được xác_định là do người dân tại hai xã Thuận_Lợi và Thuận_Phú của tình Bình_Phước ít đi tiêm_chủng phòng_ngừa , dẫn đến miễn_dịch cộng_đồng kém .","Nguyên_nhân được xác_định hai xã Thuận_Lợi và Thuận_Phú của tỉnh Bình_Phước tỷ_lệ tiêm_chủng thấp , dẫn đến miễn_dịch cộng_đồng kém .",1
"Để động_viên thành_tích và tinh_thần thi_đấu của xạ_thủ Hoàng_Xuân_Vinh tại Olympic Rio 2016 , Bộ_trưởng Nguyễn_Ngọc_Thiện cũng đã thưởng "" nóng "" cho VĐV này 60 triệu đồng .",Bộ_trưởng Nguyễn_Ngọc_Thiện nhiệt_liệt biểu_dương thành_tích đoạt HCV Olympic của VĐV Hoàng_Xuân_Vinh .,1
"Ngày 1/8 , trả_lời phỏng_vấn báo "" Strait_Times "" ( Singapore ) về vụ kiện Biển Đông , Tổng_thống Mỹ Barack_Obama cho_biết Philippines đã thực_hiện nỗ_lực hợp_pháp và hoà_bình để giải_quyết tranh_chấp hàng_hải với Trung_Quốc thông_qua Toà_Trọng_tài ở La_Haye ( Hà_Lan ) .","Ngày 1/8 , trả_lời phỏng_vấn tờ Strait_Times ( Singapore ) về vụ kiện Biển Đông , Tổng_thống Mỹ Barack_Obama cho_biết Philippines đã thực_hiện một nỗ_lực hợp_pháp và hoà_bình để giải_quyết tranh_chấp hàng_hải với Trung_Quốc thông_qua Toà_Trọng_tài .",1
Nạn_nhân sau đó được chuyển đến Bệnh_viện Việt_Đức .,"Một trong 5 nạn_nhân mắc_kẹt được đưa ra ngoài , chuyển đến Bệnh_viện Việt_Đức .",1
"Shakira_Martin đại_diện Jamaica tham_dự Hoa_hậu Hoàn_vũ 2011 tại_Sao_Paulo , Brazil .","Shakira_Martin - Hoa_hậu Hoàn_vũ Jamaica 2011 , qua đời ở tuổi 30",1
"Đội_trưởng Lê_Công_Vinh không_thể góp_mặt nên hôm_nay HLV Nguyễn_Hữu_Thắng sẽ cùng tiền_vệ Ngô_Hoàng_Thịnh , phó_Chủ_tịch VFF Trần_Quốc_Tuấn và Tổng_thư_ký VFF Lê_Hoài_Anh đến Myanmar dự sự_kiện này .","Đại_diện cho ĐT Việt_Nam tham_dự sự_kiện này có Phó_Chủ_tịch VFF Trần_Quốc_Tuấn , Tổng_Thư_ký Lê_Hoài_Anh , HLV_trưởng Nguyễn_Hữu_Thắng và tuyển_thủ ĐTQG Ngô_Hoàng_Thịnh .",1
Nhạc_sĩ Dương_Khắc_Linh chia_sẻ đây là một trong những phần trình_diễn tốt nhất của Adam từ trước đến nay .,Nhạc_sĩ Dương_Khắc_Linh chia_sẻ đây là một trong những phần trình_diễn tốt nhất của Tô_Lâm ( Adam ) từ trước đến nay .,1
Chiếc máy_bay bị cho ngừng phục_vụ trong khi hãng bay hợp_tác với Cơ_quan an_toàn giao_thông quốc_gia Mỹ để điều_tra nguyên_nhân .,Uỷ_ban an_toàn giao_thông quốc_gia Mỹ cũng cho_biết sẽ tham_gia cuộc điều_tra .,1
"Trước đó , vào khoảng 19h ngày 11.9 , sản phụ Nguyễn thị T . đau bụng chuyển_dạ , được người_nhà đưa lên trạm_xá .","Trước đó , vào khoảng 19h ngày 11/9 , sản phụ Nguyễn thị T . ( 1984 , ở xã Phúc_Thọ , Nghi_Lộc ) đau bụng chuyển_dạ , được người_nhà đưa lên trạm_xá .",1
"Còn đội U. 18 Consadole_Sapporo , Nhật_Bản và đội U. 19 Myanmar ở hai khách_sạn khác .","Phần còn_lại phụ_thuộc vào các đối_thủ , trong đó có chính chúng_ta với đội chủ_nhà_U. 19 Myanmar , U. 19 Thái_Lan và U. 18 Consadole_Sapporo ( Nhật_Bản ) .",0
"Cụ_thể , chỉ trong vòng 20 phút đầu trận , tiền_đạo người Argentina đã liên tiếp đá hỏng 2 quả phạt_đền khiến các CĐV lắc_đầu ngao_ngán .","Trong vòng 20 phút đầu , tiền_đạo người Argentina này đá hỏng phạt_đền đến hai lần .",1
"Tin ban_đầu cho_hay , sáng 31 - 7 , chị Loan cùng con_trai bơi thúng qua sông Phan để đến vườn thanh_long của gia_đình .","Trước đó , vào khoảng 7h ngày 31.7 , chị Loan cùng con_trai là cháu Huỳnh_Văn_Trường ( 6 tuổi ) lên một chiếc thuyền_thúng nhỏ bơi qua sông Phan để vào rẫy của gia_đình phía bên kia sông .",1
"Tạo_hình giả trai của Trà_Ngọc_Hằng khiến khán_giả ngỡ_ngàng vì không nhận ra , cô cũng rất duyên trong những câu thoại hài_hước , dí_dỏm nhằm kéo Ngọc_Trinh "" từ cung_trăng trở_về mặt đất "" để giành lấy tình_yêu của nàng .","Tạo_hình giả trai của Trà_Ngọc_Hằng khiến khán_giả ngỡ_ngàng vì không nhận ra cô , cô cũng rất duyên trong những câu thoại hài_hước , dí_dỏm nhằm kéo Ngọc_Trinh "" từ cung_trăng trở_về mặt đất "" nhằm giành lấy tình_yêu của nàng .",1
"Tuy_nhiên Cục Bảo_vệ thực_vật cho rằng "" sau tháng 8 là mùa xoài ở VN nên xoài từ Trung_Quốc không về nữa "" .","Tuy_nhiên , sau tháng 8 là mùa chín_rộ của xoài Việt_Nam , giá lại phù_hợp , nên các nhà nhập_khẩu lại dừng nhập xoài từ Trung_Quốc .",1
"Nếu không phải là con nhà nòi thì không_thể làm được như thế đâu , NSND Bạch_Tuyết nói .","Nếu không phải là con nhà nòi thì không_thể làm được như thế đâu "" .",1
"Một ưu_điểm thấy rõ ở bộ_máy mới của Chính_phủ là hầu_hết các thành_viên đều từng_trải , đã phụ_trách từ cấp cơ_sở trở lên , cũng có nhiều vị đã được thử_thách qua các cương_vị cấp cao , nhiều người đã được thử_thách qua ba tháng vừa_rồi .","GS Nguyễn_Minh_Thuyết : Một ưu_điểm thấy rõ ở bộ_máy mới của Chính_phủ là hầu_hết các thành_viên đều từng_trải , đã phụ_trách từ cấp cơ_sở trở lên , cũng có nhiều vị đã được thử_thách qua các cương_vị cấp cao , nhiều người đã được thử_thách qua ba tháng vừa_rồi .",1
May_mắn vụ_việc không gây thiệt_hại về người .,"Rất may khi xảy_ra vụ_việc , trong xe không có người .",1
Chị Oanh suy_giảm sức_khoẻ sau ca mổ sinh và bị cắt nhầm niệu_quản .,Chị Nguyễn_Thị_Oanh sau khi xuất_viện về nhà nhưng sức_khoẻ đã giảm_sút đi nhiều do bị cắt nhầm niệu_quản,1
"Bác_sĩ Đoàn_Thao , Giám_đốc Bệnh_viện Đa_khoa Thị_xã Hương_Trà thông_tin , chiều 6/8 người_nhà chị Phạm_Thị_Chi cho rằng cái chết của chị nhiều bất_thường nên tụ_tập ở cổng bệnh_viện yêu_cầu gặp lãnh_đạo để làm rõ nguyên_nhân .","bất_thường , người_thân đã tập_trung tại bệnh_viện Đa_khoa thị_xã Hương_Trà ( Thừa_Thiên - Huế ) yêu_cầu làm rõ nguyên_nhân .",1
"Qua kiểm_tra , công_an xác_định cơ_sở của ông Thành không có giấy_phép kinh_doanh , không có giấy chứng_nhận đủ điều_kiện an_toàn vệ_sinh thực_phẩm .","Làm_việc với cơ_quan_chức_năng , ông Thành không xuất_trình được giấy_phép kinh_doanh , không có giấy chứng_nhận đủ điều_kiện an_toàn vệ_sinh thực_phẩm ... Ông_Thành khai đã sản_xuất tương_ớt được hơn một năm nay .",1
"Bên lề kỳ họp thứ 2 HĐND TP Hà_Nội_khoá XV sáng nay ( 1/8 ) trả_lời về việc tháo_dỡ phần sai_phạm tại toà nhà 8B Lê_Trực , ông Hoàng_Trọng_Quyết , Bí_thư Quận_uỷ Ba_Đình cho_biết : Theo kế_hoạch dự_kiến , việc tháo_dỡ tầng 19 sẽ hoàn_tất trong vòng 45 ngày .","Bên lề kỳ họp thứ 2 HĐND TP Hà_Nội_khoá 15 sáng nay , liên_quan đến việc tháo_dỡ phần sai_phạm tại dự_án nhà 8B Lê_Trực , Bí_thư quận_uỷ Ba_Đình Hoàng_Trọng_Quyết cho_hay , hiện quận đang trong quá_trình tiến_hành tháo_dỡ tầng 19 .",1
Cầu_thủ xuất_sắc nhất : Trần_Công_Minh ( Đồng_Tháp ),Cầu_thủ xuất_sắc : Trần_Công_Minh ( Đồng_Tháp ) .,1
"Theo Sport , Barcelona sắp_sửa có Paco_Alcacer với giá 30 triệu euro .","Sport cho_biết , Barca sắp_sửa có tiền_đạo Paco_Alcacer với giá 30 triệu euro .",1
Quá_trình làm_việc thì chúng_tôi biết nhau vì bên PVC cũng có làm một_số công_việc cho Tổng của tôi .,Còn quá_trình làm_ăn_của anh Thanh tại PVC thời đó thế_nào thì tôi cũng chỉ biết sơ_sơ vì chúng_tôi phụ_trách 2 đơn_vị hoàn_toàn khác nhau .,0
"Trên trực_thăng có 3 thành viên phi_hành_đoàn và 2 cán_bộ từ Trung_tâm hoà_giải Nga ở Syria "" - Bộ Quốc_phòng Nga thông_cáo .","Phi_hành_đoàn gồm 3 người và 2 cán_bộ thuộc trung_tâm hoà_giải Syria của Nga đã ở trên trực_thăng "" .",1
"Đồng_thời , rà quét hệ_thống và xoá các thư_mục và tập_tin của 4 loại mã_độc nguy_hiểm .","Ngoài_ra , nhà quản_trị cần phải rà quét hệ_thống và xoá các thư_mục và tập_tin , được cho là có nhiễm mã_độc theo đường dẫn sau .",1
Tin_đồn Suzy và Lee_Min_Ho chia_tay đã khiến fan xôn_xao,Dư_luận xôn_xao vì tin_đồn Suzy và Lee_Min_Ho chia_tay .,1
"Theo Vụ_trưởng Vụ Sức_khoẻ bà mẹ trẻ_em , ông Nguyễn_Đức_Vinh , Bộ Y_tế cũng đề_nghị Sở Y_tế An_Giang sớm tổ_chức họp Hội_đồng chuyên_môn đánh_giá về quá_trình giải_quyết của BV Nhật_Tân , xác_định mức_độ sai_phạm và xử_lý .","Để đánh_giá chính_xác , cụ_thể về trường_hợp này , Bộ Y_tế cũng đề_nghị Sở Y_tế sớm thành_lập Hội_đồng chuyên_môn , họp để đánh_giá xác_định mức_độ sai_phạm và yêu_cầu xử_lý .",1
"Phong_cách rock ballad đầy lãng_tử của Chris_Norman đã đi_sâu vào phong_cách của giới trẻ một thời , cùng với Suzi_Quatro của ca_khúc song_ca Stumblin'In tạo nên cơn_sốt mốt tóc Suzi những năm đầu 1990 .","Phong_cách rock ballad đầy lãng_tử của Chris_Norman đã đi_sâu vào phong_cách của giới trẻ một thời , cùng với Suzi_Quatro của ca_khúc song_ca "" Stumblin'In "" đã tạo nên cơn_sốt mốt tóc Suzi những năm đầu 1990 .",1
"Ngày 1/8 , Cơ_quan công_an tỉnh Tiền_Giang cho_biết , đã khởi_tố vụ án , khởi_tố bị_can và bắt tạm giam 4 tháng đối_với bà Phan_Thị_Kim_Chưởng ( 55 tuổi , ngụ xã Bình_Ninh , huyện Chợ_Gạo ) để điều_tra hành_vi "" Giết người "" .","Ngày 1.8 , cơ_quan CSĐT Công_an tỉnh Tiền_Giang cho_biết , đơn_vị này bước_đầu đã thống_nhất với Viện KSND cùng cấp_tiến hành khởi_tố vụ án , khởi_tố bị_can và bắt tạm giam 4 tháng đối_với bà Phan_Thị_Kim_Chưởng ( SN 1961 , ngụ xã Bình_Ninh , huyện Chợ_Gạo , Tiền_Giang ) để điều_tra về hành_vi "" cố_ý gây thương_tích dẫn đến chết người "" .",1
